toi,tic,evol,source,disp,photo_vetting,spec_vetting,ao_vetting,ra,dec,vmag,jmag,nobs,template,nobs_goal,tot_time,rem_nobs,rem_time,r_s,teff,teff_err,t_eff,f_eh,ast_det_t,ruwe,rp,rp_err,mp,period,period_err,a_to_R,sinc,rt_5sig,drop,finish
178.01,251848941,MS,spoc,VPC,-,-,-,7.3012,-30.4537,11.955,9.372,0.0,FALSE,60.0,19.93,60.0,19.93,0.66,4111.0,171.0,4339.0,,0.05,1.18,2.77,1.13,6.94,6.5580540000000000,0.00129,19.65,35.0,7.14,FALSE,FALSE
178.02,251848941,MS,spoc,VPC,-,-,-,7.3012,-30.4537,11.955,9.372,0.0,FALSE,60.0,19.93,60.0,19.93,0.66,4111.0,171.0,4339.0,,0.05,1.18,3.75,1.52,9.2,10.354252,0.003165,26.65,19.0,7.14,FALSE,FALSE
178.03,251848941,MS,spoc,PC,-,-,-,7.3012,-30.4537,11.955,9.372,0.0,FALSE,60.0,19.93,60.0,19.93,0.66,4111.0,171.0,4339.0,,0.05,1.18,2.32,2.68,5.88,9.955936,0.005123,25.96,20.0,7.46,FALSE,FALSE
179.01,207141131,MS,spoc,VPC+,-,-,-,44.2623,-56.1921,8.99,7.428,0.0,FALSE,60.0,5.05,60.0,5.05,0.8,5058.0,181.0,5081.0,,0.0516,1.05,2.81,0.9,7.03,4.1373940000000000,9.6E-05,12.85,181.0,1.72,FALSE,FALSE
180.01,51912829,SG,spoc,BEB,-,-,-,14.2984,-67.4963,10.01,8.994,0.0,FALSE,60.0,7.97,60.0,7.97,2.07,6082.0,193.0,6251.0,,0.08,1.23,14.87,2.32,317.83,0.835398,9E-06,1.92,19472.0,2.75,FALSE,FALSE
181.01,76923707,MS,spoc,VPC+,-,-,-,352.172,-34.4914,11.191000000000000,9.627,0.0,FALSE,60.0,14.76,60.0,14.76,0.81,4983.0,180.0,4753.0,,0.0501,0.75,6.32,0.97,32.85,4.532037,0.000161,12.99,120.0,5.19,FALSE,FALSE
182.01,76989773,MS,spoc,BEB,-,-,-,353.2946,-35.4636,10.3,,0.0,FALSE,60.0,9.8,60.0,9.8,,5569.0,187.0,-1.0,,0.0521,5.89,19.12,5.67,317.83,1.769141,3.1E-05,5.55,1368.0,3.39,FALSE,FALSE
183.01,183979262,MS,spoc,VPC-,-,-,-,21.6492,-72.749,8.778000000000000,7.784,0.0,FALSE,60.0,5.05,60.0,5.05,2.72,6270.0,196.0,6514.0,,0.1668,1.71,30.2,4.8,317.83,3.4307760000000000,1.5E-05,3.88,4985.0,1.72,FALSE,FALSE
184.01,300871545,MS,spoc,EB,-,-,-,117.6576,-70.5336,10.405,9.587,0.0,FALSE,60.0,10.59,60.0,10.59,1.45,6380.0,197.0,6674.0,,0.0577,1.1,23.9,3.61,317.83,4.817028,2.6E-05,9.29,-1.0,3.66,FALSE,FALSE
185.01,100100827,MS,spoc,KP,-,-,-,24.3543,-45.6779,9.28,8.409000000000000,0.0,FALSE,60.0,5.07,60.0,5.07,1.35,6400.0,0.0,6226.0,0.1,0.0615,0.9,12.98,0.03,317.83,0.941449,2E-06,3.18,5449.0,1.74,FALSE,FALSE
186.01,279741379,MS,spoc,P,-,-,-,51.7468,-63.4992,8.08,6.081,0.0,FALSE,60.0,5.05,60.0,5.05,0.71,4628.0,91.0,4628.0,0.003,0.0529,0.91,3.25,0.38,8.05,,,,3.0,1.72,FALSE,FALSE
186.02,279741379,MS,spoc,PC,-,-,-,51.7468,-63.4992,8.08,6.081,0.0,FALSE,60.0,5.05,60.0,5.05,0.71,4628.0,91.0,4628.0,0.003,0.0529,0.91,1.08,0.63,1.39,7.787068,0.000418,20.98,67.0,9.22,FALSE,FALSE
187.01,260304296,MS,spoc,BEB,-,-,-,94.6157,-57.0136,9.486,8.705,0.0,FALSE,60.0,5.69,60.0,5.69,1.55,6725.0,201.0,6757.0,,0.0716,1.05,20.51,4.64,317.83,0.5125890000000000,3E-06,1.97,32050.0,1.95,FALSE,FALSE
188.01,280830734,MS,spoc,SB2,-,-,-,44.5552,-70.7609,9.978,8.951,0.0,FALSE,60.0,7.8,60.0,7.8,1.66,6340.0,204.0,6340.0,-0.46,0.0663,1.06,4.63,7.47,19.37,1.162031,8.8E-05,3.03,6297.0,2.69,FALSE,FALSE
189.01,278866211,MS,spoc,BEB,-,-,-,100.8079,-55.2445,10.741,9.709,0.0,FALSE,60.0,12.44,60.0,12.44,1.04,6054.0,193.0,6236.0,,0.0519,0.92,14.82,8.22,317.83,2.194097,4.1E-05,7.28,2348.0,4.32,FALSE,FALSE
190.01,166739520,MS,spoc,KP,-,-,-,36.7754,-50.2845,10.139,9.143000000000000,0.0,FALSE,60.0,8.73,60.0,8.73,1.28,6038.0,0.0,5984.0,-0.36,0.0547,0.97,10.93,0.07,83.26,10.020817,0.000175,15.78,181.0,3.01,FALSE,FALSE
191.01,183532609,MS,spoc,KP,-,-,-,359.9003,-35.0314,9.789,8.501,0.0,FALSE,60.0,6.87,60.0,6.87,1.0,5600.0,0.0,5589.0,0.24,0.0517,1.02,12.36,0.09,317.83,8.159165,0.0005010000000000000,17.01,48.0,2.37,FALSE,FALSE
192.01,183537452,MS,spoc,KP,-,-,-,357.8795,-39.9067,11.331,9.353,0.0,FALSE,60.0,15.58,60.0,15.58,0.64,4800.0,0.0,5203.0,0.17,0.05,1.1,8.57,0.13,55.09,3.922743,7.4E-05,15.68,150.0,5.5,FALSE,FALSE
193.01,183985250,MS,spoc,VPC,-,-,-,358.6675,-37.628,9.783,,0.0,FALSE,60.0,6.85,60.0,6.85,0.98,5422.0,185.0,5374.0,,0.0516,1.08,3.96,1.36,9.67,0.792072,1.5E-05,3.59,2804.0,2.36,FALSE,FALSE
194.01,211438925,SG,spoc,KP,-,-,-,5.1606,-23.9357,10.675,9.701,0.0,FALSE,60.0,12.14,60.0,12.14,1.5,5940.0,0.0,5775.0,0.04,0.0539,16.99,15.13,0.1,317.83,4.899379,0.00013000000000000000,8.78,597.0,4.21,FALSE,FALSE
195.01,230982885,MS,spoc,KP,-,-,-,24.6043,-55.7721,10.57,9.407,0.0,FALSE,60.0,11.68,60.0,11.68,1.13,5640.0,0.0,5696.0,,0.0514,0.99,12.48,0.06,317.83,2.072761,2E-05,6.08,931.0,4.04,FALSE,FALSE
196.01,234519192,SG,spoc,CPC,-,-,-,14.5517,-64.7616,8.49,7.638,0.0,FALSE,60.0,5.05,60.0,5.05,4.06,6495.0,198.0,6648.0,,0.05,0.96,17.73,16.68,317.83,1.163088,0.000126,1.28,49014.0,1.72,FALSE,FALSE
197.01,441462736,SG,spoc,P,-,-,-,353.0336,-21.8014,8.15,6.568,0.0,FALSE,60.0,5.05,60.0,5.05,2.9,5105.0,181.0,5083.0,,1.0,0.93,10.27,1.43,74.91,14.279001,0.006368,10.57,-1.0,1.72,FALSE,FALSE
198.01,12421862,MS,spoc,PPC,-,-,-,2.2682,-27.1221,11.688000000000000,8.655,0.0,FALSE,60.0,17.95,60.0,17.95,0.45,3763.0,65.0,3782.0,,0.05,0.96,1.56,1.1,4.07,20.427265,0.003312,53.17,2.0,10.16,FALSE,FALSE
199.01,309792357,MS,spoc,STPC,-,-,-,80.1055,-59.8957,10.701000000000000,9.329,0.0,FALSE,60.0,12.26,60.0,12.26,0.88,5350.0,184.0,5180.0,,0.0513,1.01,9.59,,66.68,33.26812,,47.42,14.0,4.26,FALSE,FALSE
200.01,410214986,MS,spoc,VP,-,-,-,354.9146,-69.1958,8.17,7.122000000000000,0.0,FALSE,60.0,5.05,60.0,5.05,0.95,5414.0,161.0,5414.0,,0.0549,1.03,7.78,,46.75,8.1375,,17.56,54.0,1.72,FALSE,FALSE
